Date,Price,Open,High,Low,Vol.,Change %,Years_Elapsed,Trend_Line,Log_Price,Log_Trend,Residual,Rolling_Mean,Rolling_Std,Lower_Band,Upper_Band,Fast_EMA,Slow_EMA,Prev_Fast_EMA,Prev_Slow_EMA,Prev_Close,TR,ATR,SMA_Regime,Bull_Regime,Bear_Lower_Band,Vol_MA,RSI,Z_Score,Signal
2016-02-18,7191.75,7177.4,7215.1,7127.85,254330000.0,1.17%,0.13141683778234087,8092.133232886963,8.8806898147019,8.998647662918154,-0.11795784821625332,-0.08701110019236538,0.027923223896264632,-0.09538806736124478,-0.07863413302348599,7137.82173886163,7205.616821165887,7110.857608292445,7208.1380613778665,7108.45,106.65000000000055,139.2178571428572,,False,-0.11493432408863001,250526500.0,42.307144806775774,-1.1082799084681543,0
2016-02-19,7210.75,7170.55,7226.85,7145.95,198210000.0,0.26%,0.13415468856947296,8094.841424132809,8.883328247060463,8.99898227656011,-0.11565402949964643,-0.08910389652841992,0.027627388242308745,-0.09739211300111254,-0.0808156800557273,7162.1311592410875,7206.40654098652,7137.82173886163,7205.616821165887,7191.75,80.90000000000055,140.76785714285728,,False,-0.11673128477072867,248031500.0,43.3415727923508,-0.961007705048553,0
2016-02-22,7234.55,7208.85,7252.4,7200.7,159160000.0,0.33%,0.14236824093086928,8102.971437179948,8.88662343948092,8.999986117485976,-0.11336267800505695,-0.09125440707794752,0.026886776554157533,-0.09932044004419478,-0.08318837411170026,7186.270772827392,7210.736303911671,7162.1311592410875,7206.40654098652,7210.75,51.69999999999982,133.87142857142868,,False,-0.11814118363210505,244175500.0,44.67961996105073,-0.8222730189532818,0
2016-02-23,7109.55,7240.3,7241.7,7090.7,200400000.0,-1.73%,0.14510609171800137,8105.683255643629,8.869194229655077,9.000320731127932,-0.13112650147285443,-0.09379873226972618,0.02692933214915496,-0.10187753191447267,-0.08571993262497969,7160.697181884929,7195.1691802329515,7186.270772827392,7210.736303911671,7234.55,151.0,137.13928571428582,,False,-0.12072806441888115,245785500.0,39.41479517846853,-1.3861379478844442,0
2016-02-24,7018.7,7075.0,7090.8,7009.75,205900000.0,-1.28%,0.14784394250513347,8108.395981670594,8.856333294685777,9.000655344769887,-0.14432205008411003,-0.09653492502360367,0.027768931352287828,-0.10486560442929002,-0.08820424561791732,7113.364787923287,7168.020075581729,7160.697181884929,7195.1691802329515,7109.55,99.80000000000018,137.46428571428584,,False,-0.1243038563758915,246411000.0,36.08652118927413,-1.7208845545498197,0
2016-02-25,6970.6,7029.85,7034.2,6961.4,291930000.0,-0.69%,0.15058179329226556,8111.109615564578,8.849456583263395,9.000989958411843,-0.151533375148448,-0.09973078110533257,0.02841185365516814,-0.108254337201883,-0.09120722500878213,7065.776525282192,7137.647756261462,7113.364787923287,7168.020075581729,7018.7,72.80000000000018,135.58214285714303,,False,-0.1281426347605007,246855500.0,34.428890959659284,-1.8232739993609146,0
2016-02-26,7029.75,7039.3,7052.9,6985.1,213140000.0,0.85%,0.15331964407939766,8113.824157629419,8.857906422294706,9.001324572053798,-0.14341814975909273,-0.10253194550679391,0.028439308677646078,-0.11106373811008774,-0.09400015290350008,7053.767683521462,7121.048101452006,7065.776525282192,7137.647756261462,6970.6,82.29999999999927,130.79285714285723,,False,-0.13097125418444,242116000.0,38.18901899525606,-1.43766519487994,0
2016-02-29,6987.05,7050.45,7094.6,6825.8,487970000.0,-0.61%,0.16153319644079397,8121.973235888948,8.851813714673977,9.002328412979665,-0.1505146983056882,-0.10511775498642327,0.029173161714494293,-0.11386970350077155,-0.09636580647207499,7031.528455680975,7100.433008920929,7053.767683521462,7121.048101452006,7029.75,268.8000000000002,141.98571428571435,,False,-0.13429091670091756,256182500.0,36.55918123845174,-1.5561200998214078,0
2016-03-01,7222.3,7038.25,7235.5,7035.1,283560000.0,3.37%,0.16427104722792607,8124.691413677596,8.884928740714336,9.00266302662162,-0.11773428590728408,-0.10618613109521788,0.029023386525429448,-0.11489314705284671,-0.09747911513758904,7095.118970453984,7119.181776779247,7031.528455680975,7100.433008920929,6987.05,248.44999999999982,151.12857142857152,,False,-0.1352095176206473,258493500.0,49.37761385794074,-0.39789136260677366,0
2016-03-02,7368.85,7321.7,7380.35,7308.15,348970000.0,2.03%,0.16700889801505817,8127.410501157802,8.905016935016329,9.002997640263576,-0.097980705247247,-0.10696408977157426,0.02845594825391935,-0.11550087424775006,-0.09842730529539846,7186.362646969323,7157.5922726593635,7095.118970453984,7119.181776779247,7222.3,158.05000000000018,144.1500000000001,,False,-0.1354200380254936,266049000.0,55.42047305800735,0.3156944356296383,0
